ID;SEZIONE;NOME IDROMETRO;NOME_BACIN;DATI_DA;NOME_DOMIN;COMUNE;PROV;REGIONE;BACINO;LON;LAT;AREA;CORR_TIME;CN;THR1;THR2;THR3;ALERTZONE;Q_ALLARME;Q_ARANCIONE;Q_ALLERTA;Fonte Q_soglia;StimaQoss;QUAL1_5;CALIBRATO;Err_Rel_Qp;NashSut;FonteSdD
-9999;Ponte SMaria;Ponte S.Maria;Tevere;Tevere, Ponte SMaria;TevereBasin;-;-;Lazio;-9999;12.0208;42.8961;128;3.3;-9999;320;400;530;-9999;20;35;70;CF;Scala di deflusso;2;no;-0.01;0.61;CF Umbria, 2018
-9999;Ponte Verdi;Parma Ponte Verdi;Parma;Parma, Ponte Verdi;PoBasin;-;-;-;-9999;10.3251;44.8067;600;6.9;-9999;180;230;300;-9999;154;259;407;CF;Scala di deflusso;2;no;-0.28;0.7;ARPA Emilia Romagna, 2018
126;Ponteadige;Ponte Adige;Adige;Adige, Ponteadige;AdigeDomain;Bolzano;BZ;Trentino;51;11.3084;46.4842;2550;13.9;77;-9999;-9999;-9999;147;403;598;726;Statistica;-9999;-9999;no;-9999;-9999;N.D.
-9999;PonteBarcaTraversa;Ponte Barca Traversa R2;Simeto;Simeto, PonteBarcaTraversa;SiciliaDomain;-;-;SICILIA;-9999;14.87;37.53;1730;11.5;-9999;-9999;-9999;-9999;-9999;518;743;884;Statistica;-9999;-9999;no;-9999;-9999;N.D.
238;Pontebecca Siap;-;Po;Po, Pontebecca Siap;PoBasin;MEZZANINO;PV;LOMBARDIA;44;9.22944;45.1389;33325;49.5;-9999;-9999;-9999;-9999;64;8108;11055;12542;Statistica;-9999;-9999;no;-9999;-9999;N.D.
151;PonteBradano;Ponte Bradano;Bradano;Bradano, PonteBradano;BasilicataDomain;BERNALDA;MT;BASILICATA;7;16.82395;40.41663;2980;15.0;69;-9999;-9999;-9999;7;461;780;1007;Statistica;Scala di deflusso;3;si;-0.02;<-1;Letteratura, 2020
-9999;Pontecagnano;Pontecagnano;Picentino;Picentino, Pontecagnano;VolturnoDomain;-;-;-;-9999;14.87;40.65;123.05;3.2;-9999;-9999;-9999;-9999;-9999;82.85;130.56;165.32;Statistica;-9999;-9999;no;-9999;-9999;N.D.
-9999;PonteCaprafica;Caprafica;Trigno;Trigno, PonteCaprafica;VolturnoDomain;-;-;-;-9999;14.65;41.9;777;7.8;-9999;230;340;370;-9999;128;428;540;CF;Scala di deflusso;1;no;-0.1;-0.8;CF Regione Molise, 2021
-9999;Pontecorvo;Liri a Pontecorvo;Liri;Liri, Pontecorvo;LiriDomain;-;-;-;-9999;13.6667;41.4508;3719.1168;16.7;-9999;400;600;800;-9999;325;539;811;CF;Scala di deflusso;3;si;0.16;0.7;CF Regione Lazio, 2020
-9999;Pontedazzo;Pontedazzo;Metauro;Metauro, Pontedazzo;MarcheDomain;-;-;-;-9999;12.62;43.49;114;3.1;-9999;-9999;-9999;-9999;-9999;66;114;153;Statistica;-9999;3;no;-0.2;0.42;Regione Marche, 2021
-9999;Pontedecimo;Genova - Pontedecimo;Polcevera;Polcevera, Pontedecimo;LiguriaDomain;-;-;-;-9999;8.9;44.49;52;2.2;-9999;230;280;420;-9999;337;497;1048;CF;Scala di deflusso;3;no;-0.04;0.38;Arpal, 2020
-9999;PontedelGrillo;Ponte del Grillo;Tevere;Tevere, PontedelGrillo;TevereBasin;-;-;-;-9999;12.6;42.09;14679;33.0;-9999;500;600;700;-9999;606;870;1121;CF;-9999;-9999;no;-9999;-9999;CF Regione Lazio, 2022
