tag;id;section_name;station_name;catchment_name;data_from;domain_name;municipality;province;region;basin;longitude;latitude;catchment_area_km2;correlation_time_hr;curve_number;threshold_level_1;threshold_level_2;threshold_level_3;alert_zone;discharge_yellow;discharge_orange;discharge_red;threshold_source;discharge_estimation;quality_index_1_5;is_calibrated;error_relative_peakflow;nash_sutcliffe;source_sdd
lavagna:san_colombano;-9999.0;San Colombano;-;Lavagna;Lavagna, San Colombano;LiguriaDomain;-;-;LIGURIA;-9999;9.3112;44.3726;161.0;3.7;-9999;-9999;-9999;-9999;5;343.0;603.0;818.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
entella:sanmartino;-9999.0;SanMartino;S. Martino;Entella;Entella, SanMartino;LiguriaDomain;-;-;-;-9999;9.34;44.36;282.0;4.8;-9999;170;220;320;-9999;235.0;292.0;431.0;CF;Scala di deflusso;3;no;0.25;<-1;Arpal, 2020
letimbro:santuario_di_savona;-9999.0;Santuario di Savona;-;Letimbro;Letimbro, Santuario di Savona;LiguriaDomain;-;-;LIGURIA;-9999;8.43753;44.34555;31.0;1.8;-9999;200;320;-9999;3;42.0;74.0;100.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
scrivia:savignone;-9999.0;Savignone;-;Scrivia;Scrivia, Savignone;LiguriaDomain;-;-;LIGURIA;-9999;8.97833;44.55194;135.0;3.4;-9999;-9999;-9999;-9999;4;256.0;451.0;611.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
gromolo:sestri_levante;-9999.0;Sestri Levante;-;Gromolo;Gromolo, Sestri Levante;LiguriaDomain;-;-;LIGURIA;-9999;9.40972;44.27361;25.0;1.6;-9999;150;240;-9999;5;34.0;59.0;80.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
petronio:sestri_levante-sara;-9999.0;Sestri Levante-Sara;-;Petronio;Petronio, Sestri Levante-Sara;LiguriaDomain;-;-;LIGURIA;-9999;9.42972;44.27;56.0;2.3;-9999;-9999;-9999;-9999;5;89.0;156.0;212.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
aulella:soliera;-9999.0;Soliera;Soliera;Aulella;Aulella, Soliera;LiguriaDomain;-;-;LIGURIA;-9999;10.0628;44.19995;202.0;4.1;-9999;300;350;450;5;130.0;180.0;300.0;CF;Scala di deflusso;3;no;-0.02;0.03;ARPAL, 2020
orba:tiglieto_orba;-9999.0;Tiglieto Orba;Tiglieto;Orba;Orba, Tiglieto Orba;LiguriaDomain;-;-;LIGURIA;-9999;8.61648;44.5203;73.0;2.6;-9999;300;350;450;2;186.0;261.0;449.0;CF;Scala di deflusso;2;si;-0.188;0.76;ARPAL, 2018
armea:valle_armea-ponte;-9999.0;Valle Armea-Ponte;-;Armea;Armea, Valle Armea-Ponte;LiguriaDomain;-;-;LIGURIA;-9999;7.81889;43.83556;36.0;1.9;-9999;-9999;-9999;-9999;1;76.0;134.0;182.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
varenna:varenna;-9999.0;Varenna;-;Varenna;Varenna, Varenna;LiguriaDomain;Genova;GE;LIGURIA;-9999;8.82;44.43639;22.0;1.5;-9999;-9999;-9999;-9999;3;74.0;131.0;177.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
sturla:vignolo;-9999.0;Vignolo;-;Sturla;Sturla, Vignolo;LiguriaDomain;-;-;LIGURIA;-9999;9.37385;44.38154;102.0;3.0;-9999;320;410;-9999;5;242.0;426.0;578.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
