ID,SEC_CODE,SEC_NAME,BASIN,SEC_TAG,DOMAIN,ADMIN_B_L3,ADMIN_B_L2,ADMIN_B_L1,TYPE,LON,LAT,AREA,Q_THR1,Q_THR2,Q_THR3,SEC_RS,HMC_X,HMC_Y
38,24,Aso,Aso,Aso:Aso,Marche,Ortezzano,FM,Marche,River,13.618459,43.021431,187.1,30.0,80.0,-9999.0,1104,367,525
39,23,Menocchia,Menocchia,Menocchia:Menocchia,Marche,'Montefiore dell''Aso',AP,Marche,River,13.776796,43.034218,65.3,10.0,35.0,-9999.0,-9999,363,577
40,153,FoceTesino,Tesino,Tesino:FoceTesino,Marche,Grottammare,AP,Marche,River,13.870255,42.978324,119.7,30.0,60.0,-9999.0,-9999,381,607
41,178,BrigliaVolpi,Tronto,Tronto:BrigliaVolpi,Marche,Colonnella,TE,Abruzzo,River,13.879376,42.890373,1152.3,130.0,250.0,-9999.0,2937,411,612
42,25,Tronto,Tronto,Tronto:Tronto,Marche,Ascoli Piceno,AP,Marche,River,13.651516,42.852242,941.3,116.41,221.0,-9999.0,1108,424,535
43,135,PonteDArli,Tronto,Tronto:PonteDArli,Marche,Acquasanta Terme,AP,Marche,River,13.461242,42.7981,461.0,41.72,141.04,-9999.0,1537,442,472
44,127,Visso,Nera,Nera:Visso,Marche,Visso,MC,Marche,River,13.086076,42.930874,124.0,14.84,26.0,-9999.0,1317,397,348
45,-9999,ConfluenzaMetauroCandigliano,Metauro,Metauro:ConfluenzaMetauroCandigliano,Marche,-,-,Marche,River,12.7544,43.6741,-9999.0,110.0,220.0,-9999.0,-9999,149,232
46,183,PianelloDiOstra,Misa,Misa:PianelloDiOstra,Marche,Ostra,AN,Marche,River,13.127034,43.624584,-9999.0,25.0,55.0,-9999.0,-9999,161,368
47,-9999,ConfluenzaMisaNevola,Misa,Misa:ConfluenzaMisaNevola,Marche,-,-,Marche,River,13.151213,43.649004,-9999.0,45.0,90.0,-9999.0,-9999,156,373
48,184,FoceEsino,Esino,Esino:FoceEsino,Marche,Falconara Marittima,AN,Marche,River,13.371486,43.641574,-9999.0,100.0,160.0,-9999.0,-9999,163,440
49,-9999,Diga,Mercatale,Mercatale:Diga,Marche,-,-,-,Dam,12.490749,43.783361,-9999.0,-9999.0,-9999.0,-9999.0,-9999,114,150
50,-9999,Diga,Furlo,Furlo:Diga,Marche,-,-,-,Dam,12.730989,43.6494,-9999.0,-9999.0,-9999.0,-9999.0,-9999,157,230
51,-9999,Diga,SanLazzaro,SanLazzaro:Diga,Marche,-,-,-,Dam,12.767024,43.678257,-9999.0,-9999.0,-9999.0,-9999.0,-9999,149,242
52,-9999,Diga,Tavernelle,Tavernelle:Diga,Marche,-,-,-,Dam,12.893151,43.7351,-9999.0,-9999.0,-9999.0,-9999.0,-9999,131,284
53,-9999,Diga,Castreccioni,Castreccioni:Diga,Marche,-,-,-,Dam,13.160418,43.38096,-9999.0,-9999.0,-9999.0,-9999.0,-9999,248,373
54,-9999,Diga,Fiastrone,Fiastrone:Diga,Marche,-,-,-,Dam,13.181439,43.056635,-9999.0,-9999.0,-9999.0,-9999.0,-9999,356,380
55,-9999,Diga,Polverina,Polverina:Diga,Marche,-,-,-,Dam,13.100358,43.083663,-9999.0,-9999.0,-9999.0,-9999.0,-9999,347,353
56,-9999,Diga,Borgiano,Borgiano:Diga,Marche,-,-,-,Dam,13.202459,43.146726,-9999.0,-9999.0,-9999.0,-9999.0,-9999,326,387
57,-9999,Diga,LeGrazie,LeGrazie:Diga,Marche,-,-,-,Dam,13.268526,43.188767,-9999.0,-9999.0,-9999.0,-9999.0,-9999,312,409
58,-9999,Diga,Comunanza,Comunanza:Diga,Marche,-,-,-,Dam,13.376634,42.89147,-9999.0,-9999.0,-9999.0,-9999.0,-9999,411,445
59,-9999,Diga,SanRuffino,SanRuffino:Diga,Marche,-,-,-,Dam,13.388646,43.01159,-9999.0,-9999.0,-9999.0,-9999.0,-9999,371,449
60,-9999,Diga,Talvacchia,Talvacchia:Diga,Marche,-,-,-,Dam,13.5093,42.78036,-9999.0,-9999.0,-9999.0,-9999.0,-9999,448,488
61,-9999,Diga,Scandarello,Scandarello:Diga,Marche,-,-,-,Dam,13.265523,42.6383,-9999.0,-9999.0,-9999.0,-9999.0,-9999,494,408
62,-9999,Genica,Genica,Genica:Genica,Marche,Pesaro,PU,Marche,River,12.911717,43.898081,-9999.0,3.0,7.0,-9999.0,-9999,75,291
